nghost,N,dx,metric_rms,grad_rms,lap_rms
2,32,1,3.2048548107523454e-05,2.3484915513790477e-05,2.8605582447327647e-05
2,48,0.66666666666666663,3.2052499511883683e-05,2.5069037582369088e-05,3.1755947811127682e-05
2,64,0.5,3.205257417145122e-05,2.5735188594436329e-05,3.3409449336432067e-05
2,96,0.33333333333333331,3.2052550068034894e-05,2.6269148460638974e-05,3.4869998647704198e-05
2,128,0.25,3.2052550341960654e-05,2.6472554163431814e-05,3.548895946871283e-05
3,32,1,3.2048548107523454e-05,2.561766471535278e-05,3.1741162777429224e-05
3,48,0.66666666666666663,3.2052499511883683e-05,2.6354615493728316e-05,3.4153744096379507e-05
3,64,0.5,3.205257417145122e-05,2.6579494447370153e-05,3.5277070627516112e-05
3,96,0.33333333333333331,3.2052550068034888e-05,2.67040247774115e-05,3.6025132514331866e-05
3,128,0.25,3.2052550341960654e-05,2.6733805683292129e-05,3.6253238896015146e-05
4,32,1,3.2048548107523454e-05,2.6088852818976335e-05,3.2700241057316342e-05
4,48,0.66666666666666663,3.2052499511883683e-05,2.6556393872614633e-05,3.4771436454890617e-05
4,64,0.5,3.205257417145122e-05,2.6680347562443255e-05,3.5694214685817437e-05
4,96,0.33333333333333331,3.2052550068034888e-05,2.6736867495374464e-05,3.6215780054229745e-05
4,128,0.25,3.2052550341960654e-05,2.6747241971383431e-05,3.634841712508441e-05
